,content
355,"Ngày nghỉ hàng tuần: nhân hệ số 2
"
356,"Ngày nghỉ hàng tuần sau 22h: nhân hệ số 2.7
"
357,"Ngày lễ: nhân hệ số 3
"
358,"Lưu ý: Để đảm bảo quyền lợi OT và để đáp ứng rules của hệ thống, member lưu ý tách timesheet OT thành các record theo quy định.
"
359,"VD1 : Ngày thường OT từ 22h- 8h sáng hôm sau, member dự án phải tách ra thành 3 log từ 22h-24h để nhân hệ số 2, 24h01’- 6h01’ để nhân hệ số 2 và từ 6h02’- 8h02’ để nhân hệ số 1.5
"
360,"VD2 : Ngày thường OT từ 5h- 8h, member phải tách ra thành 2 log từ 5h-6h để nhân hệ số 2 và từ 6h01- 8h01’ để nhân hệ số 1.5
"
361,"4. Approve Timesheets OT
"
362,"Với Timesheet OT cần phải có 2 lượt Approve của PM và DL
"
363,"- Trên tree view Timesheet OT
"
364,"- Click timesheet ở trạng thái Waiting Approve hoặc Approved by PM
"
365,"- Click button [​Approve] ​để đồng ý với times
"
366,"- Click button [​Reject]​ để từ chối
"
367,"Lưu ý: ​Chỉ những timesheet ở trạng thái Approved by Manager mới được tính lương
"
368,"Trong trường hợp cần approve nhiều timesheet, hệ thống cho phép approve đồng thời trên treeview như sau:
"
369,"- Trên treeview, chọn các timesheet cần approve
"
370,"- Chọn Action > Approve timesheets
"
371,"Hướng dẫn sử dụng Working Timesheet
"
372,"Jump to navigationJump to search
"
373,"I. Giới thiệu chung
"
374,"●  Working timesheet là module được phát triển phục vụ cho các hoạt động liên quan tới hoạt động bảng chấm công của nhân viên.
"
375,"●  Tài liệu này được tạo ra để hướng dẫn người dùng các thao tác cần thiết khi sử dụng chức năng này trên phần mềm.
"
376,"●  Các tính năng trên phần mềm sẽ được phân quyền thao tác tương ứng với vị trí công việc của mỗi người sử dụng.
"
377,"II. Hướng dẫn sử dụng
"
378,"1. Timesheet Data
"
379,"1.1. Attendances
"
380,"● Attendance ​là menu quản lý giờ check in, giờ checkout
"
381,"- User Member chỉ xem được giờ checkin, checkout của chính mình
"
382,"- User Manager xem được giờ checkin, checkout của chính mình và member mình quản lý
"
383,"● Thao tác
"
384,"Vào menu Working Timesheet >> Timesheet Data >> Attendances
"
385,"- Hiển thị màn hình My Attendance: danh sách giờ check in, giờ checkout của user
"
386,"- Hệ thống hỗ trợ một số filters, group by tạo sẵn nhằm giúp người dùng lọc dữ liệu theo ý muốn:
"
387,"Filters​:
"
388,"- My attendances: ​hiển thị giờ check in, checkout của employee đó
"
389,"- Today: ​hiển thị bản ghi của ngày hiện tại
"
390,"- Yesterday​: hiển thị tất cả các bản ghi của ngày hôm trước.
"
391,"- This week​: hiển thị tất cả các bản ghi của tuần hiện tại
"
392,"- Last week​: hiển thị tất cả các bản ghi của tuần trước
"
393,"- This month​: hiển thị tất cả các bản ghi trong tháng hiện tại
"
394,"- Last month​: hiển thị tất cả các bản ghi trong tháng trước
"
395,"- This Year​: hiển thị tất cả các bản ghi trong năm hiện tại
"
396,"- Last Year​: hiển thị tất cả các bản ghi trong năm trước
"
397,"Group By​:
"
398,"- Employees​: nhóm các bản ghi theo employees
"
399,"- Department​: nhóm các bản ghi theo Department
"
400,"- Month​: nhóm các bản ghi theo Month
"
401,"1.2. Leaves Request
"
402,"● Leaves Request là menu quản lý nghỉ phép của nhân viên
"
403,"- Employees được tạo request, xem, chỉnh sửa, xóa request của mình (trước khi submitted)
"
404,"● Thao tác
"
405,"1.2.1. Xem Request
"
406,"- Mục đích: tổng hợp danh sách các đơn nghỉ của nhân viên
"
407,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >> Leaves Request
"
408,"Filters​:
"
409,"- My attendances: ​hiển thị giờ check in, checkout của employee đó
"
410,"- Today: ​hiển thị bản ghi của ngày hiện tại
"
411,"- Yesterday​: hiển thị tất cả các bản ghi của ngày hôm trước.
"
412,"- This week​: hiển thị tất cả các bản ghi của tuần hiện tại
"
413,"- Last week​: hiển thị tất cả các bản ghi của tuần trước
"
414,"- This month​: hiển thị tất cả các bản ghi trong tháng hiện tại
"
415,"- Last month​: hiển thị tất cả các bản ghi trong tháng trước
"
416,"- This Year​: hiển thị tất cả các bản ghi trong năm hiện tại
"
417,"- Last Year​: hiển thị tất cả các bản ghi trong năm trước
"
418,"Group By​:
"
419,"- Employees​: nhóm các bản ghi theo employees
"
420,"- Department​: nhóm các bản ghi theo Department
"
421,"- Month​: nhóm các bản ghi theo Month
"
422,"1.2. Leaves Request
"
423,"● Leaves Request là menu quản lý nghỉ phép của nhân viên
"
424,"- Employees được tạo request, xem, chỉnh sửa, xóa request của mình (trước khi submitted)
"
425,"● Thao tác
"
426,"1.2.1. Xem Request
"
427,"- Mục đích: tổng hợp danh sách các đơn nghỉ của nhân viên
"
428,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >> Leaves Request
"
429,"Bước 2. Bấm “Create”
"
430,"Bước 3. Điền thông tin vào form
"
431,"+ Trường Employee : Tên nhân viên
"
432,"+ Department : Fill theo giá trị của employee , read only
"
433,"+ Leave Type : Loại phép mà nhân viên đang có trong quỹ phép
"
434,"+ From/To  : Thời gian xin nghỉ
"
435,"+ Reason : Lý do xin nghỉ
"
436,"+ Hours Total : Là tổng số giờ employee xin nghỉ từ From - To
"
437,"+ To Approver : Người duyệt đơn xin nghỉ
"
438,"+ Cc : cc địa chỉ mail đơn xin nghỉ
"
439,"+ Message : Nội dung email
"
440,"Bước 4. Bấm “Save” để lưu thông tin
"
441,"Bước 5. “Submit” & gửi email
"
442,"Sau khi nhấn button [Submit & Send Email] request xin nghỉ sẽ được gửi mail đến user trong trường “To Approver” và “Cc”
"
443,"Request đã [Submit & Send Email] không thể edit
"
444,"1.2.3. Sửa Request
"
445,"Chỉ edit được những request ở trạng thái Draft  
"
446,"Bước 1. Chọn Request muốn sửa ở trạng thái “Draft”
"
447,"Bước 2. Bấm  button “Edit” để sửa
"
448,"Bước 3. Edit thông tin Request
"
449,"Bước 4. Bấm “Save” để lưu thông tin
"
450,"Bước 5. Bấm “Submit & Send Email” khi đã chắc chắn muốn nộp
"
451,"1.3. Work From Home Timesheet
"
452,"● Work From Home (WFH) Timesheet là menu quản lý thời gian làm việc online/remote của nhân viên
"
453,"- Employees được tạo WFH, xem, chỉnh sửa của mình (trước khi submitted)
"
454,"- Manager duyệt WFH của member  bộ phận mình quản lý
"
455,"- Chỉ các bản ghi WFH được duyệt mới được tính công
"
456,"● Thao tác
"
457,"1.3.1. Xem WFH Timesheet
"
458,"Mục đích: tổng hợp danh sách các bản ghi WFH
"
459,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >>  WFH Timesheet
"
460,"Bước 2. Màn hình mặc định hiển thị WFH Timesheet Today của user, người dùng có thể xem nhanh các thông tin:
"
461,"○ Project
"
462,"○ Employee
"
463,"○ Timesheet Date
"
464,"○ Hours
"
465,"○ Description
"
466,"○ Manager’s Comment
"
467,"○ Confirm by
"
468,"○ Status
"
469,"Bước 3. Hệ thống hỗ trợ một số filters, group by tạo sẵn nhằm giúp người dùng lọc dữ liệu theo ý muốn
"
470,"1.3.2. Tạo WFH Timesheet
"
471,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >> WFH Timesheet
"
472,"Bước 2. Bấm “Create”
"
473,"+ Timesheet Date : Ngày làm việc work from home
"
474,"Note: Chỉ log cho quá khứ hoặc hiện tại, không log được cho tương lai
"
475,"+ Hours : Số giờ làm việc work from home
"
476,"Note: Số giờ phải lớn hơn 0 và nhỏ hơn hoặc bằng 8
"
477,"+ Project : Dự án đang làm
"
478,"+ Description : mô tả chi tiết các task làm việc work from home
"
479,"Bước 4. Bấm “Save” để lưu thông tin
"
480,"Bước 5. Bấm “Submit” để nộp bản ghi
"
481,"Bản ghi WFH đã [Submit] không thể edit
"
482,"1.3.3. Sửa WFH Timesheet
"
483,"Chỉ edit được những bản ghi ở trạng thái Draft  
"
484,"Bước 1. Chọn bản ghi WFH muốn sửa ở trạng thái “Draft”
"
485,"Bước 2. Bấm  button “Edit” để sửa
"
486,"Bước 3. Edit thông tin
"
487,"Bước 4. Bấm “Save” để lưu thông tin
"
488,"Bước 5. Bấm “Submit” khi đã chắc chắn muốn nộp
"
489,"2. To do - Leaves to Approve
"
490,"● To do - Leaves to Approve là menu hỗ trợ việc Approve/Reject những request được assign bởi trường To Approve
"
491,"● Thao tác
"
492,"2.1. Approved request
"
493,"Bước 1. Vào menu Working Timesheet >> To Do >> Leaves to Approve
"
494,"Bước 2. Chọn Request ở trạng thái “Submitted”
"
495,"Bước 3. Bấm button “Approve”
"
496,"Bước 4. Hiển thị màn hình Confirmation Approve, nhập phản hồi ở trường thông tin Comment
"
497,"I. Giới thiệu chung
"
498,"●  Working timesheet là module được phát triển phục vụ cho các hoạt động liên quan tới hoạt động bảng chấm công của nhân viên.
"
499,"●  Tài liệu này được tạo ra để hướng dẫn người dùng các thao tác cần thiết khi sử dụng chức năng này trên phần mềm.
"
500,"●  Các tính năng trên phần mềm sẽ được phân quyền thao tác tương ứng với vị trí công việc của mỗi người sử dụng.
"
501,"II. Hướng dẫn sử dụng
"
502,"1. Timesheet Data
"
503,"1.1. Attendances
"
504,"● Attendance ​là menu quản lý giờ check in, giờ checkout
"
505,"- User Member chỉ xem được giờ checkin, checkout của chính mình
"
506,"- User Manager xem được giờ checkin, checkout của chính mình và member mình quản lý
"
507,"● Thao tác
"
508,"Vào menu Working Timesheet >> Timesheet Data >> Attendances
"
509,"- Hiển thị màn hình My Attendance: danh sách giờ check in, giờ checkout của user
"
510,"WT1.png
"
511,"- Hệ thống hỗ trợ một số filters, group by tạo sẵn nhằm giúp người dùng lọc dữ liệu theo ý muốn:
"
512,"WT2.png
"
513,"WT3.png
"
514,"Filters​:
"
515,"- My attendances: ​hiển thị giờ check in, checkout của employee đó
"
516,"- Today: ​hiển thị bản ghi của ngày hiện tại
"
517,"- Yesterday​: hiển thị tất cả các bản ghi của ngày hôm trước.
"
518,"- This week​: hiển thị tất cả các bản ghi của tuần hiện tại
"
519,"- Last week​: hiển thị tất cả các bản ghi của tuần trước
"
520,"- This month​: hiển thị tất cả các bản ghi trong tháng hiện tại
"
521,"- Last month​: hiển thị tất cả các bản ghi trong tháng trước
"
522,"- This Year​: hiển thị tất cả các bản ghi trong năm hiện tại
"
523,"- Last Year​: hiển thị tất cả các bản ghi trong năm trước
"
524,"Group By​:
"
525,"- Employees​: nhóm các bản ghi theo employees
"
526,"- Department​: nhóm các bản ghi theo Department
"
527,"- Month​: nhóm các bản ghi theo Month
"
528,"1.2. Leaves Request
"
529,"● Leaves Request là menu quản lý nghỉ phép của nhân viên
"
530,"- Employees được tạo request, xem, chỉnh sửa, xóa request của mình (trước khi submitted)
"
531,"● Thao tác
"
532,"1.2.1. Xem Request
"
533,"- Mục đích: tổng hợp danh sách các đơn nghỉ của nhân viên
"
534,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >> Leaves Request
"
535,"Wt5.png
"
536,"Bước 2. Trên Treeview, người dùng có thể xem nhanh các thông tin:
"
537,"○ Employee
"
538,"○ Department
"
539,"○ Leaves Type
"
540,"○ From
"
541,"○ To
"
542,"○ Hours Total
"
543,"○ Reason
"
544,"○ Status
"
545,"1.2.2. Tạo Request
"
546,"- Mục đích: tạo đơn xin nghỉ
"
547,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >> Leaves Request
"
548,"Bước 2. Bấm “Create”
"
549,"Wt6.png
"
550,"Bước 3. Điền thông tin vào form
"
551,"Wt7.png
"
552,"+ Trường Employee : Tên nhân viên
"
553,"+ Department : Fill theo giá trị của employee , read only
"
554,"+ Leave Type : Loại phép mà nhân viên đang có trong quỹ phép
"
555,"+ From/To  : Thời gian xin nghỉ
"
556,"+ Reason : Lý do xin nghỉ
"
557,"+ Hours Total : Là tổng số giờ employee xin nghỉ từ From - To
"
558,"+ To Approver : Người duyệt đơn xin nghỉ
"
559,"+ Cc : cc địa chỉ mail đơn xin nghỉ
"
560,"+ Message : Nội dung email
"
561,"Bước 4. Bấm “Save” để lưu thông tin
"
562,"Bước 5. “Submit” & gửi email
"
563,"Sau khi nhấn button [Submit & Send Email] request xin nghỉ sẽ được gửi mail đến user trong trường “To Approver” và “Cc”
"
564,"Request đã [Submit & Send Email] không thể edit
"
565,"1.2.3. Sửa Request
"
566,"Chỉ edit được những request ở trạng thái Draft  
"
567,"Bước 1. Chọn Request muốn sửa ở trạng thái “Draft”
"
568,"Wt8.png
"
569,"Bước 2. Bấm  button “Edit” để sửa
"
570,"Wt9.png
"
571,"Bước 3. Edit thông tin Request
"
572,"Bước 4. Bấm “Save” để lưu thông tin
"
573,"Bước 5. Bấm “Submit & Send Email” khi đã chắc chắn muốn nộp
"
574,"1.3. Work From Home Timesheet
"
575,"● Work From Home (WFH) Timesheet là menu quản lý thời gian làm việc online/remote của nhân viên
"
576,"- Employees được tạo WFH, xem, chỉnh sửa của mình (trước khi submitted)
"
577,"- Manager duyệt WFH của member  bộ phận mình quản lý
"
578,"- Chỉ các bản ghi WFH được duyệt mới được tính công
"
579,"● Thao tác
"
580,"1.3.1. Xem WFH Timesheet
"
581,"Mục đích: tổng hợp danh sách các bản ghi WFH
"
582,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >>  WFH Timesheet
"
583,"Image1.png
"
584,"Bước 2. Màn hình mặc định hiển thị WFH Timesheet Today của user, người dùng có thể xem nhanh các thông tin:
"
585,"○ Project
"
586,"○ Employee
"
587,"○ Timesheet Date
"
588,"○ Hours
"
589,"○ Description
"
590,"○ Manager’s Comment
"
591,"○ Confirm by
"
592,"○ Status
"
593,"Bước 3. Hệ thống hỗ trợ một số filters, group by tạo sẵn nhằm giúp người dùng lọc dữ liệu theo ý muốn
"
594,"WT10.png
"
595,"1.3.2. Tạo WFH Timesheet
"
596,"Bước 1. Truy cập menu Working Timesheet >> Timesheet Data >> WFH Timesheet
"
597,"Bước 2. Bấm “Create”
"
598,"WT11.png
"
599,"WT12.png
"
600,"+ Timesheet Date : Ngày làm việc work from home
"
601,"Note: Chỉ log cho quá khứ hoặc hiện tại, không log được cho tương lai
"
602,"+ Hours : Số giờ làm việc work from home
"
603,"Note: Số giờ phải lớn hơn 0 và nhỏ hơn hoặc bằng 8
"
604,"+ Project : Dự án đang làm
"
605,"+ Description : mô tả chi tiết các task làm việc work from home
"
606,"Bước 4. Bấm “Save” để lưu thông tin
"
607,"Bước 5. Bấm “Submit” để nộp bản ghi
"
608,"Bản ghi WFH đã [Submit] không thể edit
"
609,"1.3.3. Sửa WFH Timesheet
"
610,"Chỉ edit được những bản ghi ở trạng thái Draft  
"
611,"Bước 1. Chọn bản ghi WFH muốn sửa ở trạng thái “Draft”
"
612,"Bước 2. Bấm  button “Edit” để sửa
"
613,"Bước 3. Edit thông tin
"
614,"Bước 4. Bấm “Save” để lưu thông tin
"
615,"Bước 5. Bấm “Submit” khi đã chắc chắn muốn nộp
"
616,"2. To do - Leaves to Approve
"
617,"● To do - Leaves to Approve là menu hỗ trợ việc Approve/Reject những request được assign bởi trường To Approve
"
618,"● Thao tác
"
619,"2.1. Approved request
"
620,"Bước 1. Vào menu Working Timesheet >> To Do >> Leaves to Approve
"
621,"WT13.png
"
622,"Bước 2. Chọn Request ở trạng thái “Submitted”
"
623,"Bước 3. Bấm button “Approve”
"
624,"Bước 4. Hiển thị màn hình Confirmation Approve, nhập phản hồi ở trường thông tin Comment
"
625,"Bước 5. Bấm button “OK” , hiển thị status “Approved”
"
626,"Bước 6. Hệ thống sẽ gửi mail phản hồi request xin nghỉ tương ứng
"
627,"2.2. Reject request
"
628,"Bước 1. Vào menu Working Timesheet >> To Do >> Leaves to Approve
"
629,"Bước 2. Chọn Request ở trạng thái “Submitted”
"
630,"Bước 3. Bấm button “Reject”
"
631,"Bước 4. Hiển thị màn hình Confirmation Approve, nhập phản hồi ở trường thông tin Comment
"
632,"Bước 5. Bấm button “OK” , hiển thị status “Reject”
"
633,"Bước 6. Hệ thống sẽ gửi mail phản hồi request xin nghỉ tương ứng
"
634,"3. Report - Working Timesheet
"
635,"● Report - Working Timesheet là menu hiển thị bảng công tổng theo tháng của nhân viên
"
636,"● Thao tác
"
637,"Bước 1. Truy cập menu Working Timesheet >> Report >> Working Timesheet
"
638,"Bước 2. Màn hình mặc định hiển thị Timesheet by Month của user, người dùng có thể xem nhanh các thông tin:
"
639,"○ Employee Code
"
640,"○ Employee
"
641,"○ Department
"
642,"○ From
"
643,"○ To
"
644,"○ Standard : Công chuẩn của tháng
"
645,"○ Working : Công làm việc thực tế
"
646,"○ Overtime : Số giờ OT chưa nhân hệ số
"
647,"○ Payroll OT : Số giờ OT đã nhân hệ số
"
648,"○ Payroll Working : Giờ công thực nhận  = Working + Payroll OT
"
649,"○ Late/Early Block
"
650,"○ Leaves in Month : Số ngày nghỉ phép trong tháng
"
651,"○ Remaining Leaves : Số ngày phép còn khả dụng
"
652,"○ Email Sent
"
653,"Bước 3. Hệ thống hỗ trợ một số filters, group by tạo sẵn nhằm giúp người dùng lọc dữ liệu theo ý muốn
"
654,"4. Master Data
"
655,"4.1. Working Calendar
"
656,"● Working Calendar là menu hiển thị khung thời gian làm việc của nhân viên
"
657,"- Toàn thể nhân viên có khung thời gian làm việc mặc định từ 8h ~ 17h30
"
658,"- Một số trường hợp có khung thời gian làm việc khác với mặc định như: nhân viên nữ hưởng chế độ ngày làm việc 7 tiếng khi nuôi con nhỏ dưới
"
659,"12 tháng,....
"
660,"● Thao tác
"
661,"Bước 1. Truy cập menu Working Timesheet >> Master Data  >> Working Calendar
"
662,"Bước 2. Màn hình mặc định hiển thị My Working Calendar của user
"
663,"4.2. Leaves Summary
"
664,"● Leaves Summary là menu cho phép xem thông tin quỹ phép theo từng loại nghỉ phép của nhân viên
"
665,"- Theo chế độ của công ty, trên hệ thống có các loại phép sau:
"
666,"- Note: Tất cả Employee mặc định có 2 loại phép: Nghỉ phép năm và Nghỉ không lương.
"
667,"Các loại phép còn lại: Nghỉ vợ sinh, Nghỉ cưới, Nghỉ vì việc gia đình, Nghỉ khám thai là loại phép đặc biệt chỉ sử dụng trong 1 thời điểm nhất định
"
668,"nên trước thời gian nghỉ Employee vui lòng thông báo với bộ phận Admin để được tạo Leaves Summary tương ứng.
"
669,"● Thao tác
"
670,"Bước 1. Truy cập menu Working Timesheet >> Master Data  >> Leaves Summary
"
671,"Bước 2. Trên Treeview, người dùng có thể xem nhanh các thông tin:
"
672,"○ Employee
"
673,"○ Role
"
674,"○ Department
"
675,"○ Year: năm của loại nghỉ phép
"
676,"○ Leave type: loại nghỉ phép
"
677,"○ Max Leaves: số ngày nghỉ tối đa
"
678,"○ Leave Taken: Số ngày phép đã nghỉ
"
679,"○ Remaining Leaves: Số ngày phép còn lại
"
680,"Bước 3. Trong từng bản ghi Leave Summary, người dùng có thể xem thêm thông tin chi tiết các ngày đã nghỉ tương ứng với loại từng loại nghỉ phép
"
681,"Lịch nghỉ Lễ năm 2022
"
682,"I. HBLAB Việt Nam
"
683,"Năm 2022 người lao động tại Việt Nam sẽ được nghỉ các ngày lễ, Tết sau:
"
684,"- Tết Dương lịch: 03 ngày;
"
685,"- Tết Âm lịch: 09 ngày;
"
686,"- Ngày Giỗ Tổ Hùng Vương: 03 ngày;
"
687,"- Ngày Giải phóng miền Nam và Quốc tế Lao động: 04 ngày;
"
688,"- Quốc khánh: 04 ngày;
"
689,"Do đó, năm 2022, người lao động có chế độ làm việc nghỉ thứ bảy, chủ nhật hàng tuần sẽ có tất cả 23 ngày nghỉ lễ, Tết. Cụ thể như sau:
"
690,"1. Tết Dương lịch 2022 - 03 ngày
"
691,"Tết Dương lịch năm 2022 (ngày 01/01/2022) rơi vào thứ Bảy, tiếp đó là ngày nghỉ Chủ nhật. Vì vậy, người lao động có chế độ nghỉ 2 ngày/tuần (nghỉ thứ Bảy và Chủ nhật hàng tuần) sẽ được nghỉ 3 ngày, từ 01/01/2022 đến hết ngày 03/01/2022.
"
692,"2. Tết Âm lịch 2022 - 09 ngày
"
693,"Tết Âm lịch Nhâm Dần từ ngày 29/01/2022 đến hết ngày 06/02/2022. Như vậy, người lao động được nghỉ liên tục 09 ngày, từ thứ Bảy (ngày 29/01/2022 - 27 tháng Chạp năm Tân Sửu) đến hết ngày chủ nhật (ngày 06/02/2022 - Mùng 6 tháng Giêng năm Nhâm Dần).
"
694,"3. Giỗ tổ Hùng Vương - 03 ngày
"
695,"Dịp giỗ tổ Hùng Vương (10/03 Âm lịch) năm 2022 rơi vào ngày Chủ nhật, 10/04/2022 Dương lịch. Do đó, người lao động sẽ được nghỉ bù vào ngày thứ Hai, 11/04/2022
"
696,"4. Ngày Giải phóng miền Nam và Quốc tế Lao động (30/4 - 1/5) - 04 ngày
"
697,"Năm 2022, ngày Giải phóng miền Nam (30/4) và ngày Quốc tế lao động (01/5) rơi vào thứ Bảy và Chủ Nhật nên người lao động sẽ được nghỉ bù ngày thứ Hai và thứ Ba của tuần tiếp theo.
"
698,"Như vậy, trong dịp lễ này, người lao động sẽ được nghỉ 04 ngày liên tiếp từ ngày 30/04/2022 đến hết ngày 03/05/2022.
"
699,"5. Ngày Quốc khánh (02/9)
"
700,"Phương án nghỉ lễ Quốc khánh từ ngày 01/09/2022 đến hết ngày 04/09/2022. Như vậy, người lao động sẽ được nghỉ liên tục 04 ngày.
"
701,"Lịch nghỉ Lễ năm 2023
"
702,"I. HBLAB Việt Nam
"
703,"Năm 2023 người lao động tại Việt Nam sẽ được nghỉ các ngày lễ, Tết sau:
"
704,"- Tết Dương lịch: 02 ngày;
"
705,"- Tết Âm lịch: 10 ngày;
"
706,"- Giỗ Tổ Hùng Vương (10/3 Âm lịch) và Ngày 30/4 - Quốc tế lao động 1/5 liền kề nhau: 05 ngày
"
707,"- Ngày Quốc khánh: 04 ngày;
"
708,"Do đó, năm 2023, người lao động có chế độ làm việc nghỉ thứ Bảy, Chủ nhật hàng tuần sẽ có tất cả 21 ngày nghỉ lễ, Tết. Cụ thể như sau:
"
709,"1. Tết Dương lịch 2023 - 02 ngày
"
710,"Tết Dương lịch năm 2023 (ngày 01/01/2023) rơi vào chủ Nhật. Vì vậy, CBNV sẽ được nghỉ bù 1 ngày vào thứ Hai kế tiếp, từ 01/01/2023 đến hết ngày 02/01/2023.
"
711,"2. Tết Âm lịch 2023 - 10 ngày
"
712,"Tết Âm lịch Quý Mão từ ngày 20/01/2023 đến hết ngày 26/01/2023. Tuy nhiên, để tạo điều kiện cho CBNV được nghỉ dịp Tết bên gia đình được liền mạch, nên CBNV sẽ làm bù cho ngày 27/01/2023 vào ngày thứ Bảy đầu tiên của tháng Một, tức ngày thứ Bảy, 07/01/2023. Vì vậy, CBNV sẽ được nghỉ liên tục 10 ngày, từ thứ Sáu (ngày 20/01/2023 – 29 tháng Chạp năm Nhâm Dần ) đến hết ngày Chủ nhật (ngày 29/01/2023 - Mùng 8 tháng Giêng năm Quỹ Mão).
"
713,"3. Giỗ tổ Hùng Vương và Ngày Giải phóng miền Nam và Quốc tế Lao động (30/4 - 1/5) – 05 ngày
"
714,"Dịp Giỗ tổ Hùng Vương (10/03 Âm lịch) và dịp 30/4 - Quốc tế Lao động 1/5 liền kề nhau, rơi vào cuối tuần từ ngày thứ Bảy, 29/04/2023. Vì vậy, CBNV sẽ được nghỉ bù vào ngày làm việc của tuần kế tiếp. Kỳ nghỉ sẽ kéo dài 05 ngày, từ ngày thứ Bảy, 29/04/2023 đến hết ngày thứ Tư, 03/05/2023
"
715,"4. Ngày Quốc khánh (02/09)
"
716,"Nghỉ lễ Quốc khánh từ thứ Sáu, ngày 01/09/2023 đến hết ngày 04/09/2023. Như vậy, CBNV sẽ được nghỉ liên tục 04 ngày.
"
717,"Các chương trình đang tuyển sinh
"
718,"1. Khóa học Agile Fundamentals
"
719,"2. Khóa học Clean Code
"
720,"Chương trình dành cho Toàn dân
"
721,"Global Citizen
"
722,"Agile Fundamentals
"
723,"Kỹ năng Thuyết trình
"
724,"Day One
"
725,"Logical Writing
"
726,"Chương trình dành cho Developer
"
727,"Clean Code
"
728,"GIT
"
729,"Infra Basic
"
730,"Debugging
"
731,"Security
"
732,"Atomic Design
"
733,"Chương trình dành cho QC
"
734,"Test Techniques
"
735,"ISTQB Foundation
"
736,"Link Quy trình biểu mẫu kiểm thử:
"
737,"Chương trình dành cho PM
"
738,"PM Intro
"
739,"PM Advanced
"
740,"Chương trình dành cho Quản lý
"
741,"Global Manager
"
742,"Coaching Skill
"
743,"Chương trình dành cho Tech Lead
"
744,"Tech Lead Newbie
"
745,"Chương trình dành cho các vị trí khác
"
746,"HB Future
"
747,"Intern
"
748,"Các chương trình sắp diễn ra
"
749,"Jump to navigationJump to search
"
750,"1. Dành cho toàn dân
"
751,"1.1 Day One (dành cho nhân viên mới)
"
752,"1.2 Horenso
"
753,"1.3 Global Citizen 03 (tháng 7)
"
754,"2. Dành cho Dev
"
755,"2.2 Git intro (đầu tháng 7)
"
756,"2.3 Debugging (cuối tháng 6)
"
757,"3. Dành cho QC
"
758,"3.1 Test Design (tháng 6)
"
759,"4. Dành cho Comtor
"
760,"4.1 Kỹ năng làm việc với Khách hàng Nhật (tháng 7)
"
761,"5. Dành cho PM
"
762,"5.1 PM Advanced
"
763,"6. Dành cho Quản lý
"
764,"6.1 Coaching Skill (tháng 7)
"
765,"6.2 Global Manager (tháng 7)
"
766,"Thư viện HBLAB
"
767,"Jump to navigationJump to search
"
768,"Anh/Chị thân mến,
"
769,"Thư viện HBLAB ra đời với mong muốn giới thiệu đến các “độc giả” những cuốn sách hay, ý nghĩa nhằm xây dựng và lan tỏa văn hóa đọc sách đến tất cả các thành viên.
"
770,"Tổng hợp sách Thư viện và quy trình mượn sách, Anh/Chị có thể tham khảo TẠI ĐÂY
"
771,"Chúc Anh/Chị có những giờ phút thoải mái ''nhâm nhi'' những cuốn sách hay để không ngừng phát triển bản thân nhé!
"
772,"Mọi thắc mắc vui lòng liên hệ em Cẩm Anh - L&D(anhntc@hblab.vn) để được hỗ trợ!
"
773,"Không gian học tập Udemy
"
774,"Jump to navigationJump to search
"
775,"Bạn thân mến,
"
776,"Ngoài Learning Hub, tại HBLAB, các thành viên còn có một không gian học tập online nữa giúp các thành viên có thể chủ động trong việc học tập: Có thể học mọi lúc, mọi nơi với những chủ đề mình yêu thích với không gian học tập trực tuyến UDEMY.
"
777,"Bộ phận L&D xin gửi tới toàn bộ thành viên thông tin về Udemy HBLAB như sau:
"
778,"Phạm vi áp dụng: Toàn bộ thành viên tại HBLAB
"
779,"Ngày áp dụng Udemy HBLAB: 19/05/2022
"
780,"Hướng dẫn sử dụng Udemy HBLAB được lưu trữ: TẠI ĐÂY
"
781,"Chi tiết danh sách các khóa học có sẵn trên udemy, các thành viên vui lòng tham khảo: TẠI ĐÂY
"
782,"Truy cập Udemy: TẠI ĐÂY
"
783,"Một số thông tin lưu ý:
"
784,"Do sử dụng tài khoản chung nên Anh/Chị vui lòng tự ghi chú lại tiến độ học tập của bản thân
"
785,"Để bảo mật tài khoản, LnD sẽ định kỳ thay đổi password. Thông tin thay đổi sẽ được update tại FILE
"
786,"Các thành viên không tự ý đổi mật khẩu, mua hay đăng ký các khóa học khác ngoài các khóa học đã được mua sẵn trên Udemy
"
787,"Tuyệt đối không tự ý chia sẻ tài khoản đến các thành viên khác không thuộc công ty
"
788,"Mọi thắc mắc Anh/Chị liên hệ em Cẩm Anh (Email/chatwok: [[1]]) để được hỗ trợ!
"
789,"Chúc các thành viên có những trải nghiệm học tập thật thú vị!
"
790,"Quy trình engineering
"
791,"1. Quy trình engineering là gì ?
"
